title,isEdited,userName,review,rating,date,app_name,app_id
Netflix pick up your game,False,netflix is mid now :(,"So lately this might just be me but Netflix will stop playing my show and give me the circle of annoyance. It has also been getting rid of a lot of good shows. I know this was a few years ago and I know where it is now but why did you get rid of clone wars (a show loved by all) before Disney+ was even talked about being made. There is a ton of other shows too. Like why have the Naruto shippuden movies but not the show, I mean you have shonen jumps. Another thing is during my episodes the audio will completely cut, I can still see things but not hear them and I have to restart the app. Also why can’t you make a teen option as other people have stated so that people can watch like pg-13 without all the tv-ma stuff so that people can watch shows on there own account. And about the audio cut thing, I have called customer support before about the audio and they said I’m a liar and that I’m the only one with this issue (which is not true it happens to other people I know) honestly Netflix your lucky this is my favorite platform or it would have a 1 star. FIX THE ISSUES. GET BETTER CUSTOMER SUPPORT. thank you ladies and gentlemen for ready and good day.",1,2022-08-16 12:44:13,netflix,363590051
this app changed my life.,False,Zandog loves dole whips,"My name is Yoshikage Kira. I’m 33 years old. My house is in the northeast section of Morioh, where all the villas are, and I am not married. I work as an employee for the Kame Yu department stores, and I get home every day by 8 PM at the latest. I don’t smoke, but I occasionally drink. I’m in bed by 11 PM, and make sure I get eight hours of sleep, no matter what. After having a glass of warm milk and doing about twenty minutes of stretches before going to bed, I usually have no problems sleeping until morning. Just like a baby, I wake up without any fatigue or stress in the morning. I was told there were no issues at my last check-up. I’m trying to explain that I’m a person who wishes to live a very quiet life. I take care not to trouble myself with any enemies, like winning and losing, that would cause me to lose sleep at night. That is how I deal with society, and I know that is what brings me happiness. Although, if I were to fight I wouldn’t lose to anyone.",5,2022-07-06 01:27:19,netflix,363590051
The summaries,False,SjageDaMae,"Some titles have summaries that just say who is in the movie and who directed it. That information is cool but not at the expense of what the actual film or show is about. It doesn’t make sense to have a movie summary say “Leading Actor/Actress is an award nominee who teamed with award winning film director” that has nothing to do with the premise of the story and it’s annoying to see a movie and not know what it’s about, especially since these particular ones usually have trailers that tell very little. Again they’re basically teaser trailers that just show who’s in it and what film festival said about it. Even the great Martin Scorsese has directed a dud film or two. Please just tell me what it’s about rather than telling me the cast. There’s already a section where people can see who helped work on the project. It would be nice to keep them separate because when I’m trying to find something to watch I want to know what I’m watching, not who. Very rarely do I chose I film based on who’s in it",4,2022-06-16 05:25:24,netflix,363590051
Its good but needs fixing,False,astroyz,"Alright, so i have a tv in my room and decided to watch a movie. We have 5 different accounts and a rule for netflix is that only 5 devices can play at the same time. I tried to watch the movie but it had said that there was too much devices playing at the same time. I was confused because it had said only 4 accounts were playing. I then tried to go onto my phone and it instantly let me watch a series/movie. Also.. i HATE how netflix cancels good movies or series. They should put a voting option for the viewers if they want it still be kept in netflix. They also replace the series/movie with bad ones that have bad acting or no plot. OR they keep the bad movies etc and cancel good ones. If they still had a few movies and series i would use it 24/7 but not i only use it once a month and just find the series/movie some else where. I also dont like how people who are signed into the netflix account can just randomly log into my account and watch series. I wish you can put a password in",3,2022-01-07 07:06:34,netflix,363590051
Hi it’s me again. NETFLIX PLEASE  READ,False,2a2ewrtbvghbuhuundr4d,"1.So you might be wondering why I’m writing this review Netflix again so soon so you should add preteen and teen because the kids in kindergarten shouldn’t be able to watch Naruto there’s just too much bloodshed and are you scared of the dark. those should be for preteens and teens.2. when you put down I don’t like don’t show it again I am tired of seeing things I hate all the time.3. stop canceling good shows like She-Ra jurassic World camp cretaceous Kipo and the age of Wonder beasts.I know you really you didn’t  cancel it but there could’ve been so much more.4. you should put an anime section I am having trouble finding anime.5. this is one of the most annoying things ever you keep on playing bad shows shush as GRIZZY & the lemmins cupcake & Dino Cocomelon. and there’s so much more I not am naming of them. 

I love Netflix but there’s so many things wrong but you can obviously tell and please put more She-Ra I really wanna know what happens with the Galaxy! 🥰😀🤩🥳",4,2022-08-25 07:46:42,netflix,363590051
The app works well but the Netflix plan doesn’t,False,vivianmaa78,"The app works great but not the Netflix plan. I use to have the premium plan of $20 dollars monthly to access multiple Devices at the same time. Everything works well for almost a year, but then I began to receive alerts that my count was used in other states, so I called Netflix and they suggested me to change password. So I did it, but in three days I received again the same alert. Other people in California were using my account, so I changed my password again… and guess what… Again someone got access to my Netflix account in Seattle… for last time I changed my password, and also I changed my plan to have access only two devices. Since, I changed my I didn’t have any problem. I told my friends about it and they have the same issue, so I recommend them to change the plan. Netflix is a multibillion company, so they should invest more in a security system for the customers",4,2022-03-18 16:10:48,netflix,363590051
Netflix,False,cloey evans,It’s great but I honestly think there should be a teenage section I would help because I search for hours and can’t find anything in My age group. I personally like romantic movies and films and it upsets me that half of them are grownup ones I honestly don’t mind that but there should be more teenage love. I also think there should be more pride movies you have a lot of romantic movies with straight people I feel like there should be more because there love matters just as much and they have good meanings to them and teach a lesson. Recently I watched a movie called hidden kisses and it should get lesson out there because hating on your own child for making there own Decisions it can affect them more then you know one person judging them could make them want to end there life. So we don’t just want them we need them to make a difference us people that support them understand what they go through and how hatred affects them. Over all I love your platform,4,2022-08-06 01:44:36,netflix,363590051
Netflix get your life together.,False,Natalie..HM,"Dear Netflix, respectfully I do not understand your way of thinking. You guys used to have a great shows and series! But now look at you, you guys cancelled numerous series, shows, and movies, that we all loved and could watch over and over and over again without getting bored. You guys air great shows and all of a sudden that become discontinued. I will not be surprised if you guys lose 37% of your watchers in these years that may come. I am very devastated to see that some shows that I love watching won’t have a next season. It also breaks my heart that some good movies that some people haven’t seen were taken off of Netflix. Now those new subscribers that you may gain won’t have the opportunity to watch those amazingly well out movies because you took them off. I understand that you guys may take off movies or series to put in new ones, but instead of taking away the shows they love take other shows that people don’t find you amusing. 

   Thank you so much for your time if you read this Netflix, but please take this into consideration for me and a lot of other watchers.",1,2022-05-16 05:12:00,netflix,363590051
Pls read but overall great 👍,False,tflis,"Okay so this app is great! I watch Netflix more than Disney plus and that is saying something! But here is one thing that I would like to take note on. The ratings are kind of off. Like naruto is rated PG, but come on! Naruto is violent and has some inappropriate stuff. I suggest changing the rating on some shows because they are inappropriate for little kids. Like naruto is literally in the section good for family in the kids profile. But this app is still really great. Just one more thing, why does Netflix get rid of great shows. Like I forgot the name but there is an anime that was really good and it’s not even on funmation so I have no place to watch it. It’s not on any app I own and I don’t want to pay for another subscription to just watch that. Anyway this is still a great app to watch shows and movies on and I think it is great for kids and adults.",5,2022-08-17 18:11:25,netflix,363590051
Won’t let me watch my favorite show randomly,False,Abigaib,"All that I ask is that I can watch vampire diaries. That is all I ask of this app and of Netflix. I binge the show on the daily over and over, it is mostly the only thing I watch on Netflix. A few weeks ago I went to watch it, and it is randomly gone. It says that vampire diaries is unavailable in my area, even though I never even left my house. After many many chats with Netflix and them not being helpful or fixing my problem, it was back on my phone a few days later. And might I add that it is only my phone on my mobile data where it will not work. After thinking the problem is solved, a few days later it disappears again. Then in a few hours it’s back. Few days later it’s gone and back a few hours later again. All that I ask Netflix is that I can watch this show which I feel isn’t too much to ask since I pay for their product. I’ve had it and no one on Netflix will give me any good reason as to why they keep restricting me from watching my favorite show on my phone and mobile data. That is why I give them a one star",1,2022-03-03 13:53:19,netflix,363590051
Amazing app,False,kitty_violin lover,"I can’t tell you how much I love Netflix! It has lots of shows and movies to watch. It has great anime, action, and comedy. But, they don’t offer a lot of horror movie options. I love horror movies and I get sad that I can’t watch them on Netflix. One AMAZING part about Netflix is that there is NO commercials, which I love. They also have great romance and teen stuff. If you’re into anime, I HIGHLY recommend “a silent voice”! It is the greatest movie of all time. It is very sad and emotional. It is about a deaf girl named shouko and she gets bullied because of being deaf and she uses a notebook for talking to people. The bullies name is shoya and he thinks she is sooo weird. When they grow up, shoya tries to reach out to shouko. She stills wants to be his friend even though he bullied her because she is a super nice person. Then they fall in love. I don’t wanna spoil anymore so yeah, check out a silent voice. Netflix overall is the best!",5,2022-02-15 12:44:14,netflix,363590051
To Stranger Things : Duffer Brothers and The Cast,False,BroBro0423,"How did you get over Eddie’s death so easily?!?! I’m literally in tears right now. 💔. I’m literally crying myself to sleep thinking about how sad his death was..😢. But let’s get one thing straight, Eddie Munson was not just a hero..he was a legend. And we all know how cute and weird he was.. but I bet almost half of you reading this RIGHT NOW..have judged him. Joseph Quinn...I respect you so much for keeping that straight face in the last scenes..they were the cutest scenes ever. And I’d just like to finish this with.. Joseph Quinn, your character just lost the chance to be besties with Steve Harrington. And we all know how hot Joe Keery is, but now..I’m also fangirling over Joseph Quinn..💗 

Keep up the good work guys! I’m gonna cry even more when the show is over, but I love you all and I really appreciate the work and effort you put into this! ❤️- Brooklyn. (You don’t get a last name.)",5,2022-07-05 13:46:34,netflix,363590051
Please read this,False,galixiygracie,"Why is there only 1 season on animes like haikyuu,attack on titan,and demon slayer why can’t you add all the seasons on those animes? You need more anime You need more anime because the anime I watch is coming to a end. The anime I watch is like my hero academia , the disastrous life of saikik,attack on titan, and kurokos basketball. And the reason you should put more stuff like these animes is because they’re the interesting ones. Like the disastrous life of saikik actually in has the the characters talking to the writer. And how attack on titan has that dip like when you think it is over but it’s not because there is more and they have mystery’s. And that is why you should put more anime. The my baby sitters a vampire is coming off Netflix it is the the best thing I ever seen that has been on Netflix sense I can remember your going to have to give me some reasons it is coming off😕.",5,2022-09-14 03:10:54,netflix,363590051
Pomegrantes and myrrh,False,delilah07,Netflix in general caters to what they assume are the masses whether it be teenage masses or Marvel masses but now you’re going into the Middle East and you’re very one-sided in your approach The Israeli series or films that you show are always violent for example hit-and-run and the one prior with this film it’s all not just one sided but contradictory you have terrorism on the side of the Israelis why would they attack a town saying that there were terroristic attacks from it if nothing happened if everything was peaceful they have better things to do Then there’s a love story of course the woman is virginal I’m sure when she gets married and she would never fool around on her husband who is in detention for not very clear reasons and the whole thing is just fantastical there’s no anything in it that resembles the conflicts there I know I spent most of my teenage &. beginning adult years in the Middle East during the conflicts alluded to and that means Lebanon Syria Jordan Egypt and Israel-do you want to talk about the Middle East then show both sides not angelically but fairly,2,2022-07-31 05:29:50,netflix,363590051
Bring back Julie and phantoms,False,Write a Review Jlb,"I want to talk about how you guys are amazing but their is one thing that I can’t ignore. I know their are some details to where why you would cancel what you have to cancel but it’s bad that you guys canceled a tv show that had action, questions, music that people would be inspired to and love story’s that now because of you guys we will never get to see. Their are bunch of  reason why you guys shouldn’t have canceled Julie and the phantoms but I can’t right the whole list down because it is to long, But we didn’t get to see or even know what can happen with Willy and Alex’s relationship or even Julie and lucks relationship. I just want to tell you because already a lot of fans have said this to you but I hope that you guys change your mind and a fantastic, amazing lovable tv show back on to your app. You guys are amazing but taking out a good series is not cool thanks for the app.",4,2022-06-30 01:21:59,netflix,363590051
"Great, but some bugs.",False,A BLACKPINK Fan🖤💖🤷‍♀️,"So when I’m in picture-in-picture mode, there are a couple errors. 1) When in picture-in-picture mode, sometimes the Netflix screen will turn black. Even if I disable the mode, the screen is still black. What’s weird is that audio will still play. So I have to exit the episode and then open it again. It’s not really that big of a deal but a fix would make it a lot easier. 2) Also when in picture-in-picture mode, when the credits start to roll, it plays the credit music and the intro music overlapping each other. This can definitely get annoying and happens to me often when in picture-in-picture mode. It only shows the credits screen however-and the screen goes black if I go back into normal mode. Honestly, if you could fix these two issues, it would definitely help me keep watching Netflix smoothly.",4,2022-04-23 12:50:27,netflix,363590051
WHY,False,🌹Wassp,"I don’t know about y’all but I wanna know why y’all took all the good Barbie movies off because y’all know all the movies all putting on Netflix now days are garbage but some of those movie and shows are pretty good but they don’t compare to the Barbie movies and y’all know it so y’all need to put the Barbie movies back on Netflix because I’m not pay $4.00 when I can just watch it on Netflix which I’m already paying for, and I feel like y’all should have never even consider taking those amazing Barbie movies off because Barbie Dreamhouse adventures is just a knock off of Barbie life in the dreamhouse  like that show is garbage y’all didn’t even give Raqelle the hype she deserves, so like y’all need to put those amazing barbie movies back on Netflix because y’all know that those Barbie movies were amazing and better that any movies on NETFLIX 👌 POINT MADE💋",5,2022-07-11 03:09:22,netflix,363590051
Very toxic,False,NayahOfficial,"You guys raise my blood pressure, give me hope, and let me down at the same time. I was over joyed when i found out that my favorite movie (Batman the Dark Knight) was out on netflix. It has become my comfort movie. I decided to watch it tonight not realizing that you manipulators took it off!!!! I am very upset and wish you guys would not make the netflix environment so TOXIC whew... since i can’t watch batman i decided to rewatch criminal minds then getting upset AGAIN because you guys refuse to put all the seasons on there. I really hope you guys be the bigger person and put these things on it would make my subscription so much more enjoyable. I hate that i love you- nb🖤 

I’m writing this June 12, 2022. The review above was written sometime last year.

It has come to my attention that CRIMINAL MINDS IS BEING REMOVED FROM NETFLIX! I am distraught! I am angry, and most of all I feel used! WHY???? Just why????? What do you guys gain from this? You add wack netflix originals then take the shows that people enjoy the most off. You guys are killing me. I asked for y’all to add the rest of the seasons and instead you say you’re removing the wholeeeee show! I don’t know what to say right now. I watch this show when I’m eating, when I’m cleaning, when I need a background noise, or when I just wanna watch it. Cmon pleaseeeee I’m begging you. I won’t ask for anything else just DONT take this off. 
Talk to you soon- nb🖤",3,2022-06-12 05:50:34,netflix,363590051
Amazing but some recommendations,False,Jenn fo short,"I love this app. My friends and me absolutely LOVE the following: Ginny and Georgia, Riverdale, OuterBanks, Vampire Diaries. We were wondering if you could add some more shows like that to Netflix? I mean obviously by the shows I wrote down we love gore, violence, drama, and some types of romance. One thing I would like is a pre-teen section and a teen section. It’s very hard to find shows and stuff that teens like to watch with no extreme nud!ty. It’s also hard to find PG-13 and PG-14 shows that aren’t super inappropriate. But the shows I wrote down don’t have that much inappropriate stuff in them. Again, we would LOVE more shows like this because I am a netflixaholic and I can’t take finishing an amazing show for the 10TH TIME THIS WEEK! But overall this app is a 5⭐️ app and I completely recommend. Plus, it’s very cheap! Love you netflix! ❤️",5,2022-03-14 16:39:55,netflix,363590051
Was better a couple years ago,False,cn r great,"I’ve had a subscription to Netflix for a couple years now and I absolutely loved it when I first got the subscription. As time went on that changed. One of the main problems I have with this app is the canceling of the best shows. They will cancel shows that a lot of people love just because the numbers went down a little, but then they will add the dumbest shows like the hype house show. I also wish they had a teen section. They have an adult and kids section but not a teen one. They also have shows/movies that should be rated pg-13 but are rated Mature. My last issue with Netflix is it’s hard to use. If I want to watch a show thats In my recently watched I have to scroll forever to find it. It’s also way too hard to log into to your account from someone else’s app. Altogether, this app used to be a lot better and easier to use until they started changing stuff.",3,2022-06-11 15:43:01,netflix,363590051
Suggestion,False,Rando7,"Great app. If I could change anything it would be the ability to hide shows/movies that you’ve already watched or are not interested in watching  - this would avoid the tedious task of having to scroll through all of the shows/movies you’ve already watched (or irrelevant shows you no longer want to sort through) and can focus more easily on what shows you haven’t seen yet.  Right now I rate the show so I know I’ve watched it, but being able to hide them somehow (not permanently but conveniently) would be a huge help. Also, if you could search for specific shows or movies better…maybe via tags or hashtags? For example, if you want to watch a romantic comedy that’s PG13, or a Japanese show with dubbed voiceover English instead of subtitles. Just a few thoughts. Hope this helps!",5,2022-05-19 00:22:44,netflix,363590051
Sorry. Not sorry,False,ej1223344556677,"Ok y’all gotta get this app figured out. As another person said, you need to add a teen section. I’m 11 and not able to watch rated r or ma tv shows. Make more variety for kids and teens. On top of that you got rid of CRIMINAL MINDS. HOW COULD YOU. THATS THE BEST SHOW EVER. get rid of something else. Thanks for the offer but I’d also rather spend less money on Disney plus and all these restrictions you have like people from other places can’t share an account is ridiculous. My grand parents can’t afford to spend that amount of money on something that isn’t even that good of a website to use. Not trying to be rude but it’s messed up that you taking so much stuff off of the entire Netflix no one has anything to watch. And you barley give us enough time to watch it. Also your not uploading a ton more movies and shows. You just lost a ton of loyal customers. Also, some ratings on shows are very inappropriate. They should not be that low of a rating for the things in the movies like that.

Thanks, 

Ex-loyal customer/family",1,2022-06-29 21:40:09,netflix,363590051
"After years of Netflix, probably going to cancel",False,islandlady91,"We have had Netflix for many years.  Recently we decided to downgrade to the basic plan, as we mainly watch on our iPads and did not think it would make much difference, but didńt realize only one of us could watch.  I rarely watch  Netflix these days, but thought I might watch tonight, but then my husband could not watch.  He says cancel and I am in agreement.  The programming is not great, there is rarely anything new any more, and the series I like to watch, the time in between is forever, so I forget what I am watching and like.  Also, seeing prices are higher and no new programs, I have Apple tv, Starz and other apps for much less money and better movies and series, so I think we are cancelling before we get charged for another month.  Covid took so many peoples incomes, so to see these companies raising prices, but not giving good service or decent programming, I am not willing to pay for that.",2,2022-05-07 01:13:19,netflix,363590051
PLEASE READ,False,Alyssa3201,"I love this app as much as any other person but the one request i want to make is like for a show that is part of a collection there should be the choice while watching to switch over to another thing in the collection. Like if you are watching the vampire diaries and want to compare a scene to a scene for one of the other shows in the collection there should be a button titles collections while you are watching one of them you can click that button and it brings up the shows in the collection and if it is a show also shows you the shows too. For instance, if you are watching TVD 1x01 and want to compare it to Legacies 2x07 when both Damon and Landon say the line “Hello brother” or TVD 6x17 and Legacies 3x01 when both Damon and Landon say “This better be good” if you just want to compare the context of the scene and the setting and everything. 

Also another thing that i wish to say is i like half the stuff on here but anything you start watching either gets taken off or canceled but my thing is im stuck rewatching the same few thing because of this i wish you would put some of the stuff on here and put more historical stuff and also get some of the rights from Apple TV to add Dickinson i have nowhere to watch it and it is at the top of my watchlist so i wish you could please and thank you 

With Love,
Me",3,2022-04-21 23:45:51,netflix,363590051
Great but needs something...,False,try ffhffg,"Dear Netflix, pls fix

And I love Netflix I’ve always had it and I always have loved it and I always will love it but one thing that’s always been agitating to me is the screen limit that’s the only problem I could find with Netflix and there might be a couple others but I just can’t find them but that’s the most obvious one because when you’re trying to watch something while someone is also watching something it’ll most likely say screen limit and it won’t let you watch it in and then that person might refuse to turn off what they’re watching and it’s just annoying and causes people to not want to watch Netflix and go to some other streaming service but if you could just get rid of the screen limit or at least make the screen limit a higher number pls.",4,2022-09-11 20:31:20,netflix,363590051
Needs to do better,False,This_Nick_Name_Was_Taken,"The lack of security authentication is what is deterring me not to recommend this service to anyone. I have had my account been stolen a few times and it’s an annoying process to constantly kick everyone out and change my password, the first few times it didn’t work so I had to change my email and password. For the increase pricing Netflix constantly loves to do, the increase security they need to improve as well, still flabbergasted on how they still don’t have 2way authorization, Netflix can find other family members or friends who have your password in different states and charge them extra to continue the services but can’t increase security to prevent random people in different countries from using your account. Seriously disappointed, they’ll increase pricing and do not increase the user interface or the overall user experience.",3,2022-07-02 16:06:39,netflix,363590051
